"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Pidebio","Higos- Pidebio- kg","5,67","3,64","20,64","5,50","31,28",
"Pidebio","Huevos - docena granel raza araucana - Pidebio","3,50","2,90","10,15","2,30","8,05",
"Pidebio","Jengibre- Pidebio - 250 gr","20,15","1,14","22,92","1,70","35,31",
"Pidebio","Lechuga Batavia - Pidebio - Ud","11,00","0,95","10,45","1,50","16,20",
"Pidebio","Lechuga maravilla- Pidebio- Pieza","7,00","0,95","6,65","1,50","10,50",
"Pidebio","Limon - Pidebio - Kg","11,35","1,25","14,19","2,13","22,77",
"Pidebio","Mandarina - Pidebio - Kilo","8,03","1,35","10,84","2,05","16,45",
"Pidebio","Mango- Pidebio-Kilo","14,69","3,30","48,48","4,45","66,26",
"Pidebio","Manzana Golden - Pidebio - Kg","1,92","2,26","4,33","3,40","5,83",
"Pidebio","Manzana Jona Price - Pidebio - Kilo","35,28","1,29","45,51","2,90","92,15",
"Pidebio","melon amarillo - pidebio - kg","71,77","0,80","57,41","2,60","140,18",
"Pidebio","Melon Galia - Pidebio - kg","92,93","1,00","92,93","2,15","243,88",
"Pidebio","melon piel sapo - pidebio - kg","135,15","0,88","118,93","2,80","310,98",
"Pidebio","Menta -  manojo 100g - Pidebio -","1,00","1,20","1,20","1,90","1,90",
"Pidebio","Naranja de mesa  - Pidebio - 1 kilo","52,22","0,90","46,99","1,45","75,33",
"Pidebio","Nectarina - pidebio - kg","24,98","2,75","68,70","4,40","107,50",
"Pidebio","Papaya -Pidebio- precio kg","24,36","2,50","60,90","4,20","96,02",
"Pidebio","Patata blanca- Pidebio- kilo","4,31","0,77","3,31","1,25","5,38",
"Pidebio","Pepino - Escuela","0,30","1,35","0,41","1,71","0,51",
"Pidebio","Pepino - Pidebio - Kg","12,10","1,50","18,15","2,90","25,27",
"Pidebio","Pera conferencia-pidebio-kg","40,77","1,81","73,79","3,17","125,71",
"Pidebio","Pim ita verde - pidebio - kg","2,50","1,68","4,20","3,10","7,42",
"Pidebio","pimien it rojo - pidebio - kg","13,75","1,91","26,26","2,95","39,06",
"Pidebio","Pimiento California Rojo - Pidebio - Kilo","79,16","2,34","185,23","2,80","246,42",
"Pidebio","Pimiento Padron Pidebio kg","0,93","3,29","3,06","5,00","4,63",
"Pidebio","Pimiento verde ASAR - Pidebio - kilo","6,40","1,99","12,74","3,60","22,21",
"Pidebio","Platano - Pidebio - Precio Kilo","850,32","2,00","1 700,64","3,00","2 479,18",
"Pidebio","Pomelo - Pidebio - Kilo","24,64","1,32","32,52","2,15","51,28",
"Pidebio","Rabanito- Pidebio- manojo","36,50","1,10","40,15","2,35","74,78",
"Pidebio","Sandia - Pidebio- kg","106,41","0,80","85,13","2,80","142,57",
"Pidebio","Seta Shitake - Pidebio  - 500 gr.","48,59","3,60","174,91","11,00","530,69",
"Pidebio","Tomate Cherry - pidebio - kg","5,43","2,40","13,02","3,70","19,79",
"Pidebio","Tomate cherry pera -pidebio- kg","1,95","2,40","4,67","3,70","7,19",
