"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Bodegas Luis Saavedra","Vino rosado Corucho 2017 - Luis Saavedra - 750ml","2,00","3,30","6,60","5,25","10,50",
"Bodegas Luis Saavedra","Vino tinto Corucho Roble 2016- Garnacha Tinto - Luis Saavedra - 750ml","3,00","3,40","10,20","5,40","16,20",
"Bodegas Luis Saavedra","Vino Tinto Roble 2010- Corucho Flor de Amanecer - Luis Saavedra - 750ml","1,00","4,50","4,50","7,15","7,15",
,,,,"Total:43,65",,"Total:69,55",
"Bruno Ruiz. Cooperativa-RUIZ VILLANUEVA-ESENCIA RURAL","Vino Blanco Natural PAMPANEO Airen 2016 - 75 cl","1,00","3,60","3,60","6,30","6,30",
"Bruno Ruiz. Cooperativa-RUIZ VILLANUEVA-ESENCIA RURAL","Vino Dulce Natural DE SOL A SOL Dulce 2015 - 75 cl","1,00","4,70","4,70","8,25","8,25",
"Bruno Ruiz. Cooperativa-RUIZ VILLANUEVA-ESENCIA RURAL","Vino Tinto Natural PAMPANEO Tempranillo 2016-75 cl","1,00","3,60","3,60","6,30","6,30",
,,,,"Total:11,90",,"Total:20,85",
"Cachopo","Alubias cocidas Cachopo- 700 cc","1,00","2,89","2,89","4,40","4,40",
"Cachopo","Alubias estofadas- Cachopo- 720 cc.","2,00","3,68","7,36","5,60","11,20",
"Cachopo","Cocido madrileno- Cachopo- 720 cc","6,00","4,15","24,90","6,35","38,10",
"Cachopo","Garbanzos cocidos Cachopo- 700 cc","6,00","2,05","12,30","3,20","19,20",
"Cachopo","Garbanzos estofados- Cachopo- 720 cc.","4,00","2,37","9,48","3,60","14,40",
"Cachopo","Lentejas estofadas- Cachopo- 720 cc","4,00","3,68","14,72","5,60","22,40",
"Cachopo","Pisto manchego Cachopo- 370 cc","3,00","2,63","7,89","4,00","12,00",
"Cachopo","Tomate frito con cebolla Cachopo- 370 cc","3,00","2,58","7,74","3,95","11,85",
"Cachopo","Tomate triturado Cachopo- 720 cc","2,00","2,15","4,30","3,10","6,20",
"Cachopo","Tomate Triturado- Cachopo- 445 cc.","13,00","1,32","17,16","2,00","26,00",
,,,,"Total:108,74",,"Total:165,75",
"Carmen Velasco (CITRICAREN-Murcia)","Limon Fino -Carmen de Murcia - 1 kilo","231,11","1,50","346,67","2,50","578,17",
"Carmen Velasco (CITRICAREN-Murcia)","Pomelo - Carmen (Citricaren) - kg","7,36","1,30","9,57","2,20","16,18",
,,,,"Total:356,23",,"Total:594,35",
"Carnes Braman","Babilla- filetes 500 gr aprox- carnes Braman","1,07","5,73","6,13","9,70","10,38",
"Carnes Braman","Cadera- filetes 500 gr aprox- carnes Braman","0,96","6,44","6,18","10,85","10,42",
"Carnes Braman","Carne en trozos guisar (carne de 2ª)- 500 gr aprox- carnes Braman","1,17","4,00","4,68","7,05","8,25",
"Carnes Braman","Carne picada- 500 gr aprox- carnes Braman precio 500 gr","6,39","4,09","26,14","7,05","45,05",
"Carnes Braman","Filetes de 1ªa (tapilla- falso solomillo o entrelomo)- 500 gr- carnes Braman","2,44","5,00","12,20","8,50","20,74",
"Carnes Braman","Filetes de 1ªb (tapa o espaldilla)- 500 gr aprox- carnes Braman","1,11","4,73","5,25","8,10","8,99",
"Carnes Braman","Filetes de 2ª (aguja o contra)- 500 gr aprox- carnes Braman","1,16","4,00","4,64","7,05","8,18",
"Carnes Braman","Higado- 500 gr aprox- carnes Braman","0,82","4,09","3,35","7,05","5,78",
"Carnes Braman","Morcillo en trozo- 500 gr aprox- carnes Braman","0,92","4,32","3,97","7,45","6,85",
,,,,"Total:72,54",,"Total:124,64",
"Cerveza Lluna Artesana-ARTICULTURA DE LA TERRA COOP. V","Cerveza Lluna Blanca d'Agullen","1,00","1,10","1,10","1,95","1,95",
"Cerveza Lluna Artesana-ARTICULTURA DE LA TERRA COOP. V","Cerveza Lluna Blonde (trigo rubia) botella 33cl- Cervezas Lluna","7,00","1,32","9,24","2,30","16,10",
"Cerveza Lluna Artesana-ARTICULTURA DE LA TERRA COOP. V","Cerveza Lluna bruna(tostada) botella 33cl- Cervezas Lluna","7,00","1,32","9,24","2,30","16,10",
"Cerveza Lluna Artesana-ARTICULTURA DE LA TERRA COOP. V","Cerveza Lluna Happy Trip - 33 cl- Cervezas Lluna","8,00","1,59","12,72","2,80","22,40",
"Cerveza Lluna Artesana-ARTICULTURA DE LA TERRA COOP. V","Cerveza Lluna negra- botella 33cl- Cervezas Lluna","4,00","1,41","5,64","2,50","10,00",
"Cerveza Lluna Artesana-ARTICULTURA DE LA TERRA COOP. V","Cerveza Lluna Roja d'Alcoy - 33cl -","1,00","1,10","1,10","1,95","1,95",
,,,,"Total:39,04",,"Total:68,50",
"Chocolates Sole","Cacao puro 500g ECO- Sole","8,00","6,58","52,64","10,50","84,00",
"Chocolates Sole","Chocolate blanco- Sole- 100 gr","5,00","1,41","7,05","2,15","10,75",
"Chocolates Sole","Chocolate con leche - Sole -100 gr","5,00","1,42","7,10","2,20","11,00",
"Chocolates Sole","Chocolate con leche - Sole- 25g","57,00","0,34","19,38","0,55","31,35",
"Chocolates Sole","Chocolate con leche y nueces -Sole- 100 gr","6,00","1,45","8,70","2,10","12,60",
"Chocolates Sole","Chocolate Negro 56%- Sole- 100 gr","3,00","1,35","4,05","2,15","6,45",
"Chocolates Sole","Chocolate negro 73% almendra ECO- Sole- 150g","6,00","2,59","15,54","4,15","24,90",
"Chocolates Sole","Chocolate negro 73% chili - Sole- 100g","6,00","1,62","9,72","2,60","15,60",
"Chocolates Sole","Chocolate negro 73% ECO 100gr- Sole","4,00","1,62","6,48","2,60","10,40",
"Chocolates Sole","Chocolate negro 73% ECO 25gr- Sole","14,00","0,40","5,60","0,60","8,40",
"Chocolates Sole","Chocolate Negro 73% Endulzado con Agave- Sole -100g","7,00","1,67","11,69","2,65","18,55",
"Chocolates Sole","Chocolate negro 86% ECO- Sole- 100g","18,00","1,69","30,42","2,70","48,60",
"Chocolates Sole","Chocolate negro canela ECO- Sole- 100g","24,00","1,41","33,84","2,20","52,80",
"Chocolates Sole","Chocolate Negro con Aceite Oliva - Sole - 100 gr","1,00","1,64","1,64","2,60","2,60",
"Chocolates Sole","Chocolate Negro con jengibre- Sole- 100 gr","8,00","1,50","12,00","2,35","18,80",
"Chocolates Sole","Chocolate Negro con naranja -Sole- 100g","18,00","1,49","26,82","2,30","41,40",
"Chocolates Sole","Chocolate Negro Frambuesa -Chocolate Sole- 100 gr","13,00","2,43","31,59","3,90","50,70",
"Chocolates Sole","Chocolate yogur fresas ECO 100gr - Sole","12,00","1,63","19,56","2,55","30,60",
"Chocolates Sole","Desayuno al chocolate ECO- Sole- 200g","4,00","1,87","7,48","3,00","12,00",
"Chocolates Sole","Turron chocolate con almendra ECO- Sole- 200g","9,00","3,92","35,28","6,25","56,25",
"Chocolates Sole","Turron chocolate con arandanos ECO- Sole- 200g","14,00","3,70","51,80","5,90","82,60",
"Chocolates Sole","Turron chocolate con avellana ECO 200g- Sole","6,00","3,97","23,82","6,35","38,10",
"Chocolates Sole","Turron chocolate con nueces ECO- Sole- 200g","6,00","3,60","21,60","5,75","34,50",
"Chocolates Sole","Turron chocolate con quinoa ECO- Sole- 200g","2,00","4,56","9,12","7,25","14,50",
,,,,"Total:452,92",,"Total:717,45",
"COATO","Carne de membrillo - Coato- Tarro vidrio 220  gr","0,38","2,10","0,79","3,50","1,31",
"COATO","Pimenton Dulce- Coato- bote 160 g","2,00","2,06","4,12","3,30","6,60",
"COATO","Pimenton Dulce- Coato- bote 75 g","6,00","1,34","8,04","1,80","10,80",
,,,,"Total:12,95",,"Total:18,71",
"COMFOT","Pack Tachais -Oferta 5 Revistas","1,00","5,79","5,79","8,00","8,00",
,,,,"Total:5,79",,"Total:8,00",
"COOPERATIVA CRICA","DESCATALOGADO Queso semicurado de vaca aprox 800 gr- CRICA- precio kg","1,00","9,62","9,62","17,40","17,40",
"COOPERATIVA CRICA","DESCATALOGADO Queso semicurado de vaca-CRICA-800gr-precio pieza","1,00","10,77","10,77","16,25","16,25",
"COOPERATIVA CRICA","Leche cruda vaca - Crica - 1 L","1,00","1,73","1,73","2,60","2,60",
"COOPERATIVA CRICA","Leche vaca pasteurizada DESNATADA- CRICA- 1 litro","6,00","1,63","9,81","2,40","14,40",
"COOPERATIVA CRICA","Leche vaca pasteurizada ENTERA- CRICA- 1 litro","40,00","1,63","65,38","2,40","96,00",
"COOPERATIVA CRICA","Nata liquida - Crica - 220 ml","1,00","1,90","1,90","2,60","2,60",
"COOPERATIVA CRICA","Yogur DESNATADO de vaca - Crica - 700 ml","29,00","2,55","73,82","4,00","116,00",
"COOPERATIVA CRICA","Yogur NATURAL de vaca- CRICA- 700 ml","41,00","2,55","104,37","4,00","164,00",
,,,,"Total:277,39",,"Total:429,25",
"DELIZUM- PANARRO FOODS","Mermelada de Cereza con Sirope de Agave - Delizum -  280gr","2,00","2,95","5,90","4,70","9,40",
"DELIZUM- PANARRO FOODS","Mermelada de ciruela- Delizum- 260g","1,00","2,25","2,25","3,60","3,60",
"DELIZUM- PANARRO FOODS","Mermelada de fresa -Delizum- 260g","1,00","2,38","2,38","3,80","3,80",
"DELIZUM- PANARRO FOODS","Nectar de ciruela verde -Delizum- 1litro","3,00","1,49","4,47","2,40","7,20",
"DELIZUM- PANARRO FOODS","Nectar de Mango -Delizum - 1 litro","10,00","1,60","16,00","2,55","25,50",
"DELIZUM- PANARRO FOODS","Nectar de Mango y Aloe -Delizum - 1 litro","1,00","1,66","1,66","2,65","2,65",
"DELIZUM- PANARRO FOODS","Nectar de melon - Delizum - 1L","2,00","1,60","3,20","2,55","5,10",
"DELIZUM- PANARRO FOODS","Zumito de melocoton- Delizum- 220 ml.","6,00","0,48","2,88","0,75","4,50",
"DELIZUM- PANARRO FOODS","Zumito de pina -Delizum- 200cl","10,00","0,54","5,40","0,85","8,50",
"DELIZUM- PANARRO FOODS","Zumito de tomate - Delizum - 200 ml","2,00","0,48","0,96","0,75","1,50",
"DELIZUM- PANARRO FOODS","Zumito manzana -Delizum- 200cl","5,00","0,48","2,40","0,75","3,75",
"DELIZUM- PANARRO FOODS","Zumito naranja -Delizum- 200cl","11,00","0,48","5,28","0,77","8,47",
"DELIZUM- PANARRO FOODS","Zumo de albaricoque -Delizum- 1litro","1,00","1,49","1,49","2,40","2,40",
"DELIZUM- PANARRO FOODS","Zumo de Granada -Delizum - 1 litro","8,00","4,00","32,00","6,40","51,20",
"DELIZUM- PANARRO FOODS","Zumo de limonada -Delizum- 1litro","1,00","1,60","1,60","2,55","2,55",
"DELIZUM- PANARRO FOODS","Zumo de mandarina -Delizum- 1litro","1,00","1,60","1,60","2,55","2,55",
"DELIZUM- PANARRO FOODS","Zumo de manzana -Delizum- 1litro","4,00","1,47","5,88","2,35","9,40",
"DELIZUM- PANARRO FOODS","Zumo de Manzana y Aloe -Delizum - 1 litro","10,00","1,66","16,60","2,65","26,50",
"DELIZUM- PANARRO FOODS","Zumo de mediterraneo -Delizum- 1litro","3,00","1,60","4,80","2,55","7,65",
"DELIZUM- PANARRO FOODS","Zumo de Melocoton y Aloe -Delizum - 1 litro","3,00","1,66","4,98","2,65","7,95",
"DELIZUM- PANARRO FOODS","Zumo de melocoton y uva -Delizum- 1litro","1,00","1,49","1,49","2,40","2,40",
"DELIZUM- PANARRO FOODS","Zumo de naranja -Delizum- 1litro","2,00","1,58","3,16","2,35","4,70",
"DELIZUM- PANARRO FOODS","Zumo de pina -Delizum- 1litro","1,00","1,62","1,62","2,60","2,60",
"DELIZUM- PANARRO FOODS","Zumo de Pina y Aloe -Delizum - 1 litro","5,00","1,81","9,05","2,65","13,75",
"DELIZUM- PANARRO FOODS","Zumo de pomelo -Delizum- 1litro","2,00","1,60","3,20","2,55","5,10",
"DELIZUM- PANARRO FOODS","Zumo de tomate -Delizum- 1litro","1,00","1,47","1,47","2,35","2,35",
"DELIZUM- PANARRO FOODS","Zumo de tropical -Delizum- 1litro","5,00","1,60","8,00","2,55","12,75",
"DELIZUM- PANARRO FOODS","Zumo de Uva blanca -Delizum - 1 litro","3,00","1,60","4,80","2,55","7,65",
"DELIZUM- PANARRO FOODS","Zumo de uva roja -Delizum- 1litro","7,00","1,66","11,62","2,55","17,85",
"DELIZUM- PANARRO FOODS","Zumo de zanahoria -Delizum- 1litro","1,00","1,60","1,60","2,55","2,55",
"DELIZUM- PANARRO FOODS","Zumo de Zanahoria y Aloe -Delizum - 1 litro","4,00","1,66","6,64","2,65","10,60",
"DELIZUM- PANARRO FOODS","Zumo de zanahoria y naranja -Delizum- 1litro","1,00","1,60","1,60","2,55","2,55",
,,,,"Total:175,98",,"Total:279,02",
"DeSpelta","Harina integral de espelta- Despelta- 1 kilo","6,00","2,49","14,95","4,45","26,70",
"DeSpelta","Pasta corta de espelta-Despelta-400gr","2,00","3,10","6,20","4,60","9,20",
"DeSpelta","Pasta corta de trigo negrillo-Despelta-500gr","1,00","2,09","2,09","4,11","4,11",
,,,,"Total:23,24",,"Total:40,01",
"EcoAndes","Amaranto hinchado (sin gluten) - EcoAndes - 125gr","2,00","1,15","2,30","3,10","4,90",
"EcoAndes","Copos quinoa (sin gluten) - EcoAndes - 250gr","3,00","2,00","6,00","3,85","10,90",
"EcoAndes","Quinoa real blanca (sin gluten) - EcoAndes - 500gr","6,00","2,48","14,88","4,00","24,00",
,,,,"Total:23,18",,"Total:39,80",
"Ecoeduco","Cebolla roja seca - Ecoeduco - Kilo","23,55","1,20","28,26","1,95","45,73",
"Ecoeduco","Cebolla seca -Ecoeduco- 1 kilo","213,69","1,10","235,06","1,75","373,51",
"Ecoeduco","Cebolleta Roja - Ecoeduco - manojo 3 piezas","2,00","1,15","2,30","1,80","3,60",
"Ecoeduco","Chirivia Ecoeduco-precio kilo","11,98","2,30","27,55","3,55","40,87",
"Ecoeduco","Col Lisa -Ecoeduco - precio kilo","72,97","1,65","120,40","2,75","199,51",
"Ecoeduco","Col Lombarda- Ecoeduco- precio kilo","2,36","1,80","4,24","2,90","6,82",
"Ecoeduco","Col Rizada Ecoeduco-precio kilo","1,47","1,70","2,50","2,65","3,90",
"Ecoeduco","Maiz cocido-Ecoeduco-500 gr","15,00","1,70","25,50","2,65","39,75",
"Ecoeduco","Patata Blanca -Ecoeduco - 1 kilo","394,95","1,10","434,44","1,80","710,52",
"Ecoeduco","Patata Blanca -Ecoeduco - 2 kilos","1,21","2,20","2,66","3,60","4,36",
"Ecoeduco","Patata Blanca Mini - Ecoeduco- precio kilo","32,55","0,90","29,30","1,45","46,65",
"Ecoeduco","Patata roja - Ecoeduco - 1 Kg","120,07","1,25","150,09","1,75","210,07",
"Ecoeduco","Patata roja - Ecoeduco - 2 Kg","1,00","2,60","2,60","3,60","3,60",
"Ecoeduco","Puerro -Ecoeduco - 1 kilo","159,01","2,50","397,51","3,20","508,07",
"Ecoeduco","Remolacha -Ecoeduco - 1 kilo","45,24","0,80","36,19","1,80","80,98",
"Ecoeduco","Remolacha cocida -Ecoeduco - 500 gr","18,40","1,50","27,59","2,35","43,23",
"Ecoeduco","Rucula - Ecoeduco - Maceta","1,00","1,50","1,50","2,35","2,35",
"Ecoeduco","Tomate Raf- Ecoeduco-precio kilo","2,68","2,40","6,43","3,90","10,45",
"Ecoeduco","Zanahoria - Ecoeduco - Kilo","293,31","1,25","366,64","1,99","582,57",
,,,,"Total:1 900,77",,"Total:2 916,54",
"Ecolecera Agricultura Ecologica","Arroz Blanco de Huesca- Ecolecera- 1 kilo","1,00","2,05","2,05","3,95","3,95",
"Ecolecera Agricultura Ecologica","Arroz integral Huesca- Ecolecera-1 kg","6,00","2,00","12,00","3,85","23,10",
"Ecolecera Agricultura Ecologica","Espagueti blanco- Ecolecera- 500 gr","3,00","1,10","3,30","1,75","5,25",
"Ecolecera Agricultura Ecologica","Espagueti integral- Ecolecera- 500 gr","3,00","1,25","3,75","2,00","6,00",
"Ecolecera Agricultura Ecologica","Espirales integrales- Ecolecera-500 gr","4,00","1,25","5,00","2,00","8,00",
"Ecolecera Agricultura Ecologica","Fideos-Ecolecera- 500 gr","2,00","1,10","2,20","1,75","3,50",
"Ecolecera Agricultura Ecologica","Macarrones blancos- Ecolecera- 500 gr","1,00","1,10","1,10","1,75","1,75",
"Ecolecera Agricultura Ecologica","Macarrones integrales- Ecolecera- 500 gr","4,00","1,25","5,00","2,00","8,00",
,,,,"Total:34,40",,"Total:59,55",
"ECORAZON DE LA MANCHA [Evaristo y Amancia]","Garbanzo Pedrosillano- Ecorazon de la Mancha- 1 kilo","10,00","2,35","23,50","4,25","42,50",
"ECORAZON DE LA MANCHA [Evaristo y Amancia]","Lentejas Pardinas - Evaristo Manuel - 1 kilo","14,00","2,70","37,80","5,10","71,40",
"ECORAZON DE LA MANCHA [Evaristo y Amancia]","Pimiento Ñora 50gr - Penarrubia -","2,00","1,85","3,70","3,75","7,50",
,,,,"Total:65,00",,"Total:121,40",
"EDEMUR","Acelga Roja - Pidebio -Precio Kg","57,36","1,65","94,64","2,25","126,33",
"EDEMUR","Achicoria Edemur 500gr","5,00","1,25","6,25","1,95","8,39",
"EDEMUR","Ajetes - Edemur - Manojo 8uds","7,00","1,50","10,50","2,35","16,10",
"EDEMUR","Apio verde - Edemur - manojo 700 gr. aprox","7,30","1,43","10,44","2,55","18,60",
"EDEMUR","Col Crespa o khale verde-Edemur-manojo 400 gr. aprox.","27,45","1,63","44,75","2,70","72,64",
"EDEMUR","Col Romanescu -Edemur- precio kilo","3,52","2,35","8,27","3,85","13,55",
"EDEMUR","Hinojo Bulbo Manojo - EDEMUR -precio manojo","56,15","0,94","52,78","1,60","89,83",
"EDEMUR","Hojas de laurel Edemur","17,00","1,38","23,46","0,50","8,50",
"EDEMUR","Laurel- Edemur- 300 gr aprox","1,00","1,38","1,38","2,40","2,40",
"EDEMUR","Lechuga Baby - Edemur - pieza","57,00","0,66","37,62","1,10","60,93",
"EDEMUR","Lechuga Hoja de Roble Roja- Edemur- pieza","24,00","0,88","21,12","1,40","33,60",
"EDEMUR","Lechuga Hoja de Roble Verde -Edemur- pieza","52,00","0,88","45,76","1,40","72,80",
"EDEMUR","Pack Choi - EDEMUR - precio pieza 500 gr. aprox.","18,87","1,13","21,32","1,80","33,97",
"EDEMUR","Perejil fresco-Edemur -manojo (200-400 gr.)","30,27","0,88","26,64","1,40","42,38",
"EDEMUR","Rabanito redondo - Edemur - manojo","28,00","1,25","35,00","1,95","54,60",
,,,,"Total:439,92",,"Total:654,62",
"EducarteSano","Bizcocho vegano de zanahoria/naranja -Garbancita- 800 gr aprox","0,95","7,69","7,31","8,00","7,60",
"EducarteSano","Pan de Centeno - La Garbancita Ecologica- 1 kg","4,00","3,50","14,00","5,32","21,28",
"EducarteSano","Pan de Espelta SIN SAL- La Garbancita Ecologica-1 kg","6,00","3,90","23,40","5,73","34,38",
"EducarteSano","Pan de Espelta- La Garbancita Ecologica-1 kg","10,00","3,90","39,00","5,73","57,30",
"EducarteSano","Pan de Trigo Integral - La Garbancita Ecologica- 1 kg","11,00","2,90","31,90","4,48","49,28",
