"Products list"
"ref","description","Base imp.","IVA","Total",
"CYLSAP0012","Aceite corporal de Calendula y Naranja Dulce-SAPER-100 ml","16.28","21.00","19.70",
"CYLSAP0013","Aceite hidratante de argan,incienso y mandarina-SAPER-100 ml","18.60","21.00","22.50",
"CYLSAP0014","Balsamo labial Calendula -SAPER-5 ml","7.19","21.00","8.70",
"CYLSAP0015","Crema corporal de Almendra dulce reafirmante-Saper-200 ml","12.69","21.00","15.35",
"CYLSAP0016","Crema corporal Skin Repair Calendula y Naranja Dulce-Saper-200 ml","21.49","21.00","26.00",
"CYLSAP0017","Pack de 2 jabones ecologicos de tratamiento facial-SAPER","12.31","21.00","14.90",
"CYLSAP0018","Pack Ecologico de tratamiento para pieles secas-SAPER","21.40","21.00","25.90",
"CYLSAP0019","Pack Ecologico de tratamiento para pieles mixtas-SAPER","21.40","21.00","25.90",
"CYLSAP0020","Pack afeitado ecologico-SAPER: jabon de afeitado y  brocha","20.66","21.00","25.00",
"CYLSAP0021","Jabon facial de Calendula - Saper - 115gr","6.16","21.00","7.45",
"CYLSAP0022","Jabon facial de argan - Saper - 115gr","6.16","21.00","7.45",
"CYLSAP0023","Jabon facial Rosa mosqueta - Saper - 115gr","6.16","21.00","7.45",
"CYLSAP0024","Jabon facial de Arcilla verde - Saper - 115gr","5.41","21.00","6.55",
"CYLSAP0025","Desmaquillante clear look 'Almond&apricot' - Saper - 50 ml","16.53","21.00","20.00",
"CYLSAP0026","Tonico fresh flower de Aloe y limon - Saper - 100ml","18.06","21.00","21.85",
"CYLSAP0027","Serum perfect balance skin Jojoba y cedrus - Saper - 30ml","18.47","21.00","22.35",
"CYLSAP0028","Crema Nutri skin frankincience y palmarose - Saper -  50ml","25.62","21.00","31.00",
"CYLSAP0029","Crema Hydramatt skin de Argan y cedrus - Saper - 50ml","20.66","21.00","25.00",
"CYLSAP0030","Contorno de ojos Radiant look - Saper - 10ml","19.83","21.00","24.00",
"CYLSAP0031","Balsamo Lip balm de calendula - Saper - 5ml","7.19","21.00","8.70",
"CYLSAP0032","Jabon corporal Romero Rosmery y karite - Saper - 115gr","4.71","21.00","5.70",
"CYLSAP0033","Jabon corporal Lavanda lavander y karite - Saper - 115gr","4.71","21.00","5.70",
"CYLSAP0034","descatalogado Aceite Calendula y sweet orange - Saper - 100ml","16.28","21.00","19.70",
"CYLSAP0035","Aceite ultra firming Argan y frankinciense - Saper - 100ml","17.77","21.00","21.50",
"CYLSAP0036","Aceite Body slim y detox ""Birch & Juniperus"" - Saper - 100ml","18.76","21.00","22.70",
"CYLTALL0001","Leche corporal de hiperico - Amapola Biocosmetics- 400 ml","10.58","21.00","12.80",
"CYLTALL0047","Crema facial de rosa mosqueta -Amapola BioCosmetics- 50ml","17.11","21.00","20.70",
"CYLTALL0048","Aceite de rosa mosqueta-Amapola BioCosmetics- 12ml","7.23","21.00","8.75",
"CYLTALL0049","Leche limpiadora de saponaria -Amapola Biocosmetics- 125 ml","7.23","21.00","8.75",
"CYLTALL0050","Tonico facial de malva y azuleno -Amapola Biocosmetics- 125 ml","7.23","21.00","8.75",
"CYLTALL0051","Tonico facial de romero -Amapola Biocosmetics- 125 ml","7.23","21.00","8.75",
"CYLTALL0052","Tonico facial de Lavanda-  Amapola Biocosmetics- 125ml","7.23","21.00","8.75",
"CYLTALL0053","Crema facial de aloe vera -Amapola BioCosmetics-50ml.","13.02","21.00","15.75",
"CYLTALL0054","Crema facial de bardana y ortiga -Amapola BioCosmetics-50ml","13.02","21.00","15.75",
"CYLTALL0055","After Shave- Amapola Biocosmetics- 50 ml","7.44","21.00","9.00",
"CYLTALL0056","Desodorante de arbol de te -Amapola Biocosmetics- 50 ml","6.53","21.00","7.90",
"CYLTALL0057","Leche corporal de manzanilla -Amapola BioCosmetics- 250 ml","8.43","21.00","10.20",
"CYLTALL0058","Crema camino de santiago -Amapola Biocosmetics- 125 ml","7.23","21.00","8.75",
"CYLTALL0059","Aceite natural para el bebe -Amapola Biocosmetics- 125 ml","10.33","21.00","12.50",
"CYLTALL0060","Balsamo bebe -Amapola biocosmetics- 50 ml","10.17","21.00","12.30",
"CYLTALL0061","Leche corporal de calendula y camomila -Amapola Biocosmetics- 250 ml","10.33","21.00","12.50",
"CYLTALL0062","Crema manos calendula -Amapola Biocosmetics- 50 ml","4.50","21.00","5.45",
"CYLTALL0063","DESCATALOGADO Protector Solar Amazonia - Taller Amapola - 100ml","20.57","21.00","24.89",
"CYLTALL0066","Protector Solar Facial alta - Amapola Biocosmetics - 50ml","13.64","21.00","16.50",
"CYLTALL0067","Protector Solar Facial media - Amapola Biocosmetics - 50ml","12.40","21.00","15.00",
"CYLTALL0068","Protector Solar cuerpo y cara - FACTOR 25 200ml","21.07","21.00","25.50",
"CYLTALL0069","Jabon de Calendula - Amapola Biocosmetics - 100gr","4.05","21.00","4.90",
"CYLTALL0070","Jabon de Citricos - Amapola Biocosmetics - 100gr","3.31","21.00","4.00",
"CYLTALL0071","Jabon de Rosa de Mosqueta - Amapola BioCosmetics-100gr","4.05","21.00","4.90",
"CYLTALL0072","Jabon de Arbol de Te -  Amapola Biocosmetics - 100gr","4.05","21.00","4.90",
"CYLTALL0073","Jabon de Exfoliante de Avena y Albaricoque -Amapola Biocosmetics- 100gr","4.05","21.00","4.90",
"CYLTALL0074","Jabon de Arcilla y Limon - Amapola Biocosmetics - 100gr","4.05","21.00","4.90",
"CYLTALL0075","Jabon de Cacao y Canela - Amapola Biocosmetics  - 100gr","4.05","21.00","4.90",
"CYLTALL0076","Jabon de Algas Marinas - Amapola Biocosmetics  - 100gr","4.05","21.00","4.90",
"CYLTALL0077","Jabon de Leche y Miel -Amapola Biocosmetics  - 100gr","4.05","21.00","4.90",
"CYLTALL0078","Jabon de Azahar y Naranja-Amapola Biocosmetics - 100gr","4.05","21.00","4.90",
"CYLTALL0079","Jabon de  Argan y Karite-Amapola Biocosmetics  - 100gr","4.05","21.00","4.90",
"CYLTALL0080","Aceite de Argan - Amapola Biocosmetics - 100 ml","12.31","21.00","14.90",
"CYLTALL0081","Crema Facial de Calendula - Amapola BioCosmetics - 50 ml","19.01","21.00","23.00",
"CYLTALL0082","Balsamo de Menta y Tomillo - Amapola BioCosmetics - 15 ml","6.20","21.00","7.50",
"CYLTALL0083","Balsamo de Arnica y Enebro -Amapola BioCosmetics - 50 ml","8.84","21.00","10.70",
"CYLTALL0084","Balsamo de Calendula- Amapola BioCosmetics -50 ml","10.17","21.00","12.30",
"CYLTALL0085","Balsamo de Hiperico -Amapola BioCosmetics - 50 ml","10.17","21.00","12.30",
"CYLTALL0086","Balsamo Labial de Calendula y Miel- Amapola BioCosmetics - 15 ml","5.08","21.00","6.15",
"CYLTALL0087","Aceite de Calendula - Amapola BioCosmetics- 100 ml","8.26","21.00","10.00",
"CYLTALL0088","Crema manos Calendula- Amapola Biocosmetics- 100 ml","6.53","21.00","7.90",
"CYLTALL0089","Tonico Facial de Lavanda- Amapola Biocosmetics - 250 ml","9.92","21.00","12.00",
"CYLTALL0090","Leche limpiadora de saponaria -Amapola Biocosmetics - 250 ml","10.87","21.00","13.15",
"CYLTALL0091","Leche corporal de hiperico - Amapola Biocosmetics- 250 ml","8.68","21.00","10.50",
"CYLTALL0092","Crema facial de jojoba y sesamo- Amapola Biocosmetics- 50 ml","17.36","21.00","21.00",
"CYLTALL0093","Exfoliante facial de albaricoque - Amapola Biocosmetics- 15 ml","5.37","21.00","6.50",
"CYLTALL0094","Mascarilla arcilla de azahar- Amapola Biocosmetics- 50 ml","6.61","21.00","8.00",
"CYLTALL0095","Crema revitalizante alma de argan - Amapola Biocosmetics- 50 ml","22.19","21.00","26.85",
"CYLTALL0096","Serum rejuvenecedor alma de argan - Amapola Biocosmetics- 30 ml","19.83","21.00","24.00",
"CYLTALL0097","Crema anticelulitica de centella asiatica - Amapola Biocosmetics- 250 ml","17.36","21.00","21.00",
"CYLTALL0098","Crema camino de santiago -Amapola Biocosmetics- 250 ml","10.87","21.00","13.15",
"CYLTALL0099","Aceite de Argan- Amapola Biocosmetics-40ml","6.94","21.00","8.40",
"CYLTALL0100","Tonico facial de Lavanda -Amapola Bio- 250 ml","10.87","21.00","13.15",
"CYLTALL0101","Tonico facial de malva y azuleno -Amapola Bio- 250 ml","10.87","21.00","13.15",
"CYLTALL0102","Tonico facial de romero  -Amapola Bio- 250 ml","10.87","21.00","13.15",
"CYLTALL0103","Crema facial de azahar y frambuesa -Amapola bio- 50 ml","18.84","21.00","22.80",
"CYLTALL0777","Protector solar Amazonia cuerpo FACTOR 30 200 ml -Amapola-","22.44","21.00","27.15",
"CYLTALL0778","Protector Solar Cuerpo y Cara  FACTOR 50 200 ml","22.48","21.00","27.20",
"CYLTALL0999","Crema Corporal de Azahar y Frambuesa 400ml","13.76","21.00","16.65",
"CYSBIOG0013","Semillas de sesamo - Biogredos - 250 gr","2.21","10.00","2.43",
"CYSBIOG0014","Pipas de calabaza verdes - Biogredos - 250 gr","4.08","10.00","4.48",
"CYSBIOG0015","Semillas de lino dorado - Biogredos - 250 gr","2.16","10.00","2.37",
"CYSHORN0005","Semillas de Calabaza -El Horno de Lena -250 gr","4.73","10.00","5.20",
"CYSHORN0006","Semilla de Sesamo -El Horno de Lena - 250 gr","1.83","4.00","1.90",
"CYSHORN0007","Semilla de Lino Dorado -El Horno de Lena -250 gr","1.73","4.00","1.80",
"CYSHORN0008","Cus Cus integral - El horno de lena - 500gr","2.45","10.00","2.70",
"CYSHORN0009","Semillas de sesamo - El Horno de Lena - 500gr","3.61","4.00","3.75",
"CYSHORN0010","Semillas de lino dorado - El Horno de Lena - 500gr","2.84","4.00","2.95",
"CYSRINC0015","Pipas de Girasol peladas-Rincon Segura - 250 gr","1.09","10.00","1.20",
"CYSRINC0016","Pipas Girasol peladas -en sacos de 25 kilos -Rincon Segura","0.00","21.00","0.00",
"CYSRINC0018","Pipas de Girasol peladas-Rincon Segura -1 KG","3.93","21.00","4.75",
"DESAYUNO","Desayuno","1.01","4.00","1.05",
"DESFRUB0001","Melocoton deshidratado - La Frubense- bote 100 gr","3.70","4.00","3.85",
"DESFRUB0002","Pina deshidratada- La Frubense- bote 70 gr","2.69","4.00","2.80",
"DESFRUB0003","Manzana deshidratada - La Frubense- bote 60 gr","3.51","4.00","3.65",
"DESFRUB0004","Fresa deshidratada - La Frubense- bote 70 gr","3.70","4.00","3.85",
"DESFRUB0005","Arandano deshidratada - La Frubense- bote 70 gr","2.50","4.00","2.60",
"DESFRUB0006","Platano deshidratado- La Frubense- bote 100 gr","2.07","4.00","2.15",
"DTOALTADIET","DTO Distribuidor ALTA DIET","1.00","0.00","1.00",
"DTODISTRIB","Descuento por distribuidor","1.00","0.00","1.00",
"DTOGAR0009","Descuento Coop/Colaborador Septiembre 2015","1.00","0.00","1.00",
"DTOGAR001","Descuento coop/colaborador Enero 2015","1.00","0.00","1.00",
"DTOGAR0010","Descuento Coop/Colaborador Octubre 2015","1.00","0.00","1.00",
"DTOGAR002","Descuento coop/colaborador Febrero 2015","1.00","0.00","1.00",
"DTOGAR003","Descuento coop/colaborador Marzo 2015","1.00","0.00","1.00",
"DTOGAR004","Descuento coop/colaborador Abril 2015","-1.00","0.00","-1.00",
"DTOGAR005","Descuento cooperativista Mayo 2015","1.00","0.00","1.00",
"DTOGAR006","Descuento coop/colaborador Junio 2015","1.00","0.00","1.00",
"DTOGAR007","Descuento coop/colaborador Julio 2015","1.00","0.00","1.00",
"DTOGAR008","Descuento coop/colaborador Agosto 2015","1.00","0.00","1.00",
"DTOGARB0001","Dto Colaborador Activo","1.00","0.00","1.00",
"DTOGARB0002","Dto Cooperativista_Cooperativista Activo","1.00","0.00","1.00",
"DTOGARB0011","Descuento Coop/Colaborador Noviembre 2015","1.00","0.00","1.00",
"DTOGARB0012","Descuento Diciembre 2015","1.00","0.00","1.00",
"DTOGARB0014","Dto Coop Febrero 2016","1.00","0.00","1.00",
"DTOGARB00316","Descuento Coop Marzo 2016-aplicable Abril16-","1.00","0.00","1.00",
"DTOGARB00317","Descuento Cooperativa_Abril 2016","-1.00","0.00","-1.00",
"DTOGARB00321","Descuento Julio 2016-aplicable Agosto16-","-1.00","0.00","-1.00",
"DTOGARB00322","Descuento Agosto 2016 -aplicable Sep16-","-1.00","0.00","-1.00",
"DTOGARB0316","Descuento Cooperativa_Marzo 2016","-1.00","0.00","-1.00",
"DTOGARB0318","Descuento Coop Mayo16 -aplicable en Junio16-","-1.00","0.00","-1.00",
"DTOGARB0319","Descuento coop_Mayo 2016","0.00","0.00","0.00",
"dtogarb0320","Descuento Junio 2016-aplicable Julio16-","-1.00","0.00","-1.00",
"DTOGARB0323","Descuento Septiembre 2016 -aplicable Oct16-","-1.00","0.00","-1.00",
"DTOGARB0324","Descuento Octubre 2016-aplicable en Nov16-","-1.00","0.00","-1.00",
"DTOGARB0325","Descuento Noviembre 2016-aplicable Dic 16-","-1.00","0.00","-1.00",
"DTOGARB0326","Descuento Noviembre aplicado Diciembre 2016","-1.00","0.00","-1.00",
"DTOGARB0327","Descuento Diciembre 2016 -aplicado enero 17-","-1.00","0.00","-1.00",
"DTOGARB0328","Descuento Coop/Col Enero 2017 -aplicado en febrero-","-1.00","0.00","-1.00",
"DTOGARB0329","Descuento Coop/Col Febrero 2017 -aplicado en marzo-","-1.00","0.00","-1.00",
"DTO_GARB_0013","Descuento Dic 2015-aplicable enero16-","1.00","0.00","1.00",
"DULARIK0006","Turron alicante -El enjambre- 200g","4.89","10.00","5.38",
"DULARIK0008","Turron jijona -El enjambre- 200g","4.89","10.00","5.38",
"DULARIK0009","Turron chocolate y almendras -El enjambre- 200g","4.89","10.00","5.38",
"DULBIOT0001","Almendras al chocolate con leche -Bioterra - 100 gr","3.11","10.00","3.42",
"DULBIOT0002","Almendras al chocolate con canela -Bioterra - 100 gr","4.64","10.00","5.10",
"DULBIOT0003","Almendras al chocolate negro -Bioterra - 100 gr","4.64","10.00","5.10",
"DULBIOT0004","Almendras al chocolate y azucar glas -Bioterra - 100 gr","3.11","10.00","3.42",
"DULGUME0001","Polvorones de Chocolate -Pasteco- 300 gr (12 unidades)","5.59","10.00","6.15",
"DULGUME0002","Mazapanillo -Pasteco - 300 gr","5.95","10.00","6.55",
"DULGUME0003","Polvorones blancos-Pasteco- 300 gr","4.27","10.00","4.70",
"DULGUME0004","Turron Alicante-duro- Enjambre- 200 gr","6.27","10.00","6.90",
"DULGUME0005","Turron Jijona-blando -Enjambre- 200 gr","6.27","10.00","6.90",
"DULGUME0006","Turron Alicante-duro SIN AZUCAR- Enjambre- 150 gr","6.64","10.00","7.30",
"DULGUME0007","Turron Jijona-blando SIN AZUCAR -Enjambre- 200 gr","6.64","10.00","7.30",
"DULGUME0008","DESCATALOGADO - Turron Alicante (duro)- Delicatalia- Abuelo- 150 gr","5.41","10.00","5.95",
"DULGUME0009","Turron Jijona (blando)- Delicatalia- El Abuelo- 150 gr","5.41","10.00","5.95",
"DULHORN0001","Polvorones -El Horno de Lena -300 gr","4.23","10.00","4.65",
"DULHORN0002","Polvorones de espelta -El Horno de Lena- 300 gr","4.86","10.00","5.35",
"DULPASA0001","Mazapan de Almendra -Bioterra -150 gr","4.18","10.00","4.60",
"DULPASA0002","Turron de Guirlache -Bioterra - 150 gr","7.23","10.00","7.95",
"DULPASA0003","Turron Blando (Jijona) -Bioterra- 150 gr","7.23","10.00","7.95",
"DULPASA0004","Turron Duro -Bioterra- 150 gr","7.23","10.00","7.95",
"EMBBIOB0001","Fuet extra -Biobardales-  200 gramos","4.50","10.00","4.95",
"EMBBIOB0002","Chorizo sarta picante -Biobardales- 300 gramos","5.18","10.00","5.70",
"EMBBIOB0003","Chorizo extra taco -Biobardales- 400 gramos","7.50","10.00","8.25",
"EMBBIOB0004","Salchichon extra taco -Biobardales-  400 gramos","7.50","10.00","8.25",
"EMBBIOB0005","Lomo extra taco -Biobardales- 400 gramos","13.91","10.00","15.30",
"EMBBIOB0006","Sobrasada extra taco -Biobardales- 300 gramos","3.27","10.00","3.60",
"EMBBIOB0007","Chorizo barbacoa -Biobardales- 300 gramos","3.27","10.00","3.60",
"EMBBIOB0008","Preparado Legumbres (chorizo/morcilla/panceta)-Biobardales-Precio paquete 300 gramos","3.91","10.00","4.30",
"EMBBIOB0009","Huesos codillo de jamon-Biobardales- precio paquete 300 gramos","1.41","10.00","1.55",
"EMBBIOB0010","Bacon extra taco -Biobardales- 400 gramos","5.18","10.00","5.70",
"EMBBIOB0011","Jamon loncheado -Biobardales- 100 gramos","6.09","10.00","6.70",
"EMBBIOB0012","Lomo extra lonchas -Biobardales- 100 gramos","4.82","10.00","5.30",
"EMBBIOB0013","Chorizo extra lonchas -Biobardales- 100 gramos","3.05","10.00","3.35",
"EMBBIOB0014","Salchichon extra lonchas -Biobardales- 100 gramos","3.05","10.00","3.35",
"EMBBIOB0015","Bacon extra lonchas-Biobardales- 200 gramos","3.36","10.00","3.69",
"EMBBIOB0016","Sobrasada extra 3 medallones -Biobardales- 100 gramos","2.27","10.00","2.50",
"EMBBIOB0017","Pate de campana -Biobardales- 100gramos","3.36","10.00","3.70",
"EMBBIOB0018","Pate de finas hierbas -Biobardales- 100 gramos","3.36","10.00","3.70",
"EMBBIOB0019","Pate de pimienta negra -Biobardales-100 gramos","3.36","10.00","3.70",
"EMBBIOB0020","Crema de jamon serrano -Biobardales- 100 gramos","3.36","10.00","3.70",
"EMBBIOB0021","Crema de chorizo -Biobardales-  100 gramos","3.36","10.00","3.70",
"EMBBIOB0022","Bacon extra lonchas-Biobardales- 100 gramos","2.05","10.00","2.25",
"EMBBIOB0023","Chorizo Sarta Dulce-300 g-Biobardales","5.18","10.00","5.70",
"EMBBIOB0024","Pata de cerdo fresca, 7 a 8 kg-Biobardales-Precio Kilo","10.45","10.00","11.50",
"EMBBIOB0025","Pata de cerdo fresca, 3 a 4 kg-Biobardales-Precio Kilo","9.64","10.00","10.60",
"ENBIOG0001","Sirope de agave - Biogra - 330gr","4.20","10.00","4.62",
"ENDBIOP0001","Sirope de Agave -Bioprasad- 350 ml","4.32","10.00","4.75",
"ENDDOLC0001","Edulcorante Stevia Crudo en polvo -Dulce Revolucion- 100 gr","7.27","10.00","8.00",
"ENDDOLC0002","Dispensador Comprimidos Edulcorante de Stevia - Dulce Revolucion- 300 unid.","4.55","10.00","5.00",
"ENDDOLC0003","Edulcorante de Stevia Liquido - Dulce Revolucion- 50 ml","4.55","10.00","5.00",
"ENDDOLC0004","Comprimidos hoja seca stevia - Dulce Revolucion- cajetilla 50 uds","4.55","10.00","5.00",
"ENDPAM0001","Stevia, planta seca - Pamies Vitae- sobre 120 gramos","5.45","10.00","6.00",
"ENDPAM0002","Estevia Instant en polvo- Pamies Vitae- 100 gr","7.27","10.00","8.00",
"ENDPAM0003","Esteviatabs - 300 comprimidos de 60 mg- Pamies Vitae","4.55","10.00","5.00",
"ENDPAM0004","Estevia Fluid -liquido 50 ml- Pamies Vitae","4.55","10.00","5.00",
"ENDPAM0005","Biodent Vital- dentifrico- Pamies Vitae- 75 ml","3.72","21.00","4.50",
"ENDPAM0006","Estevia pura pildoras - Pamies Vitae - 50 ud","4.55","10.00","5.00",
"ENDPAM0007","Stevia comprimidos - Pamies Vitae-100 unds","6.18","10.00","6.80",
"ENDPAM0008","Champu de Lavanda y Salvia- Pamies Vitae- (200 ml)","5.79","21.00","7.00",
"ENDPAM0009","Stevia rebaudiana - Pamies Vitae - bolsa 500 gr","18.18","10.00","20.00",
"ENDPAM0010","Glicosidos de Esteviol - Pamies Vitae - 25gr","5.00","10.00","5.50",
"ENVIOTACHAI","Envio revista Tachai por correo","4.13","21.00","5.00",
"ENVPLA001","Bolsa plastico pequena rollo","0.01","10.00","0.01",
"ENVPLA002","Bolsa plastico mediana asas","0.03","10.00","0.03",
"ENVPLA003","Bolsa plastico grande asas","0.05","10.00","0.05",
"ESPBIOP0001","PANADERIA_ Sal Gruesa 5 kilos -Bioprasad","3.07","10.00","3.38",
"ESPBIOP0024","Sal Fina- Bioprasad- 1Kg","1.64","10.00","1.80",
"ESPBIOP0025","Sal Gruesa -Bioprasad- 1 kilo","1.64","10.00","1.80",
"ESPBIOP0026","Sal del Himalaya-Bioprasad-500 g","2.27","10.00","2.50",
"ESPCOAT0004","Pimenton dulce- Coato- lata 75 gr","1.73","10.00","1.90",
"ESPCOAT0005","Pimenton dulce- Coato- lata 160 gr","3.14","10.00","3.45",
"ESPCOAT0006","Pimenton picante- Coato- lata 100 gr","1.68","10.00","1.85",
"ESPCOAT001","Pimenton Dulce- Coato- bote 75 g","1.64","10.00","1.80",
"ESPCOAT002","Pimenton Dulce- Coato- bote 160 g","3.00","10.00","3.30",
"ESPCOAT003","Ñoras- Coato- bolsa de papel 60 g","1.73","4.00","1.80",
"ESPHERB0001","Canela molida- Herbes del moli- bote- 25gr","2.32","10.00","2.55",
"ESPHERB0002","Cayena Molida- Herbes del Moli- bote 30gr","2.68","10.00","2.95",
"ESPHERB0004","Hierbas provenzales- Herbes del Moli - bote 15 gr","1.82","10.00","2.00",
"ESPHERB0005","Especia mezcla ensaladas- Herbes del moli- bote 25gr","2.36","10.00","2.60",
"ESPHERB0006","Especia mezcla pescados- Herbes del moli- bote 25gr","2.75","10.00","3.03",
"ESPHERB0007","Especia sazonador pasta- Herbes del moli- bote 25gr","2.23","10.00","2.45",
"ESPHERB0008","Nuez moscada molida- Herbes del moli- bote 40gr","4.05","10.00","4.46",
"ESPHERB0009","Oregano- Herbes del moli- bote 7gr","1.82","10.00","2.00",
"ESPHERB0010","Perejil- Herbes del moli- bote 8gr","1.82","10.00","2.00",
"ESPHERB0011","Canela en rama- Herbes del moli -bote 15 gr","2.59","10.00","2.85",
"ESPHERB0012","Curcuma- Herbes del moli- bote 30gr","2.18","10.00","2.40",
"ESPHERB0013","Pimenton dulce- Herbes del moli- bote 38gr","2.00","10.00","2.20",
"ESPHERB0014","Pimenton Picante- Herbes del Moli- Bote 40gr","2.45","10.00","2.70",
"ESPHERB0015","Pimienta Negra molida- Herbes del Moli- Bote 38gr","2.59","10.00","2.85",
"ESPHERB0016","Sal de ajo molinillo- Herbes del Moli- Bote 60gr","4.05","10.00","4.46",
"ESPHERB0017","Curry - Herbes del Moli- Bote 30gr","2.68","10.00","2.95",
"ESPHERB0018","Alcaravea- Herbes del moli- bolsa semillas (90gr)","3.15","10.00","3.46",
"ESPHERB0019","Harpagofito- Herbes del moli- bolsa raices (100gr)","4.18","10.00","4.60",
"ESPHERB0020","Hinojo- Herbes del moli- bolsa semillas (90gr)","2.36","10.00","2.60",
"ESPHERB0021","Hierba buena- Herbes del moli- bolsa hojas (20gr)","1.39","10.00","1.53",
"ESPHERB0022","Mejorana- Herbes del moli- bolsa flor/hojas (30gr)","1.59","10.00","1.75",
"ESPHERB0023","Regaliz- Herbes del moli- bolsa raices (90gr)","2.45","10.00","2.70",
"ESPHERB0026","Ginkgo biloba- Herbes del Moli- hojas 40 gr","1.91","10.00","2.10",
"ESPHERB0027","Achicoria en bolsa- Herbes del Moli- raiz 80 gr","2.86","10.00","3.15",
"ESPHERB0028","Ortiga verde planta cortada- Herbes del Moli-  25 gr","1.36","10.00","1.50",
"ESPHERB0029","Albahaca- hojas - Herbes del Moli- 20 gr","1.36","10.00","1.50",
"ESPHERB0030","Anis estrellado- semillas - Herbes del Moli- 60 gr","3.23","10.00","3.55",
"ESPHERB0031","Bolsa Raiz de jengibre- Herbes del Moli-  70 gr","3.22","10.00","3.54",
"ESPHERB0032","Cilantro- semillas - Herbes del Moli-  60 gr","1.82","10.00","2.00",
"ESPHERB0033","Cominos- semillas - Herbes del Moli- 100 gr","3.64","10.00","4.00",
"ESPHERB0034","Eucalipto- hojas - Herbes del Moli- 70 gr","2.50","10.00","2.75",
"ESPHERB0035","Hierba Luisa- hojas - Herbes del Moli- 15 gr","1.61","10.00","1.77",
"ESPHERB0036","Hiperico- planta- Herbes del Moli-  40 gr","2.68","10.00","2.95",
"ESPHERB0037","Lupulo- flor - Herbes del Moli- 10 gr","1.74","10.00","1.91",
"ESPHERB0038","Melisa- hojas - Herbes del Moli- 20 gr","1.50","10.00","1.65",
"ESPHERB0039","Menta piperita- hojas- Herbes del Moli-  25 gr","1.41","10.00","1.55",
"ESPHERB0040","Oregano- hojas- Herbes del Moli-  30 gr","2.05","10.00","2.25",
"ESPHERB0041","Perejil- hojas - Herbes del Moli- 40 gr","2.55","10.00","2.80",
"ESPHERB0042","Salvia- hojas- Herbes del Moli-  35 gr","2.18","10.00","2.40",
"ESPHERB0043","Diente de leon- planta- Herbes del Moli-  40 gr","1.82","10.00","2.00",
"ESPHERB0044","Valeriana- raiz- Herbes del Moli-  80 gr","3.27","10.00","3.60",
"ESPHERB0045","Eneldo- hojas - Herbes del Moli- 30 gr","1.32","10.00","1.45",
"ESPHERB0046","Equinacea- raiz- Herbes del Moli-  60 gr","4.14","10.00","4.55",
"ESPHERB0047","Vid roja- hojas- Herbes del Moli-  35 gr","1.91","10.00","2.10",
"ESPHERB0048","Espino blanco- flor y hoja - Herbes del Moli- 25 gr","1.18","10.00","1.30",
"ESPHERB0049","Anis verde- semillas - Herbes del Moli- 70 gr","2.64","10.00","2.90",
"ESPHERB0050","Cardo mariano- semillas - Herbes del Moli- 100 gr","3.14","10.00","3.45",
"ESPHERB0051","DESCATALOGADA Cola de caballo- planta - Herbes del Moli- 30 gr","1.64","10.00","1.80",
"ESPHERB0052","Estragon- Herbes del Moli- hojas 25 gr","1.78","10.00","1.96",
"ESPHERB0053","Cardamomo- especia - Herbes del Moli- bote 35 gr","3.41","10.00","3.75",
"ESPHERB0054","Clavo- especia - Herbes del Moli- bote 30 gr","2.32","10.00","2.55",
"ESPHERB0060","Bote de jengibre molido, Herbes del Moli, bote 25gr","2.25","10.00","2.47",
"ESPHERB0061","Boldo Hojas - bolsa  - Herbes del Moli - 35gr","1.82","10.00","2.00",
"ESPHERB0062","Liquen de Islandia- bolsa - Herbes del Moli - 35 gr","2.05","10.00","2.25",
"ESPHERB0063","Pasiflora Encarnata - bolsa  - Herbes del Moli - 35 gr","2.18","10.00","2.40",
"ESPHERB0064","Pimienta negra en grano -Herbes del Moli- bote 40 gr","2.82","10.00","3.10",
"ESPHERB0065","Te Moruno -Herbes del Moli- 20 saquitos","2.41","10.00","2.65",
"ESPHERB0066","Te de Roca, planta -Herbes del Moli- 30 gramos","2.20","10.00","2.42",
"ESPHERB0067","Hierba Mate -Herbes del Moli- 70 gramos","4.91","10.00","5.40",
"ESPHERB0068","Te HoneyBush -Herbes del Moli- 60 gramos","3.36","10.00","3.70",
"ESPHERB0069","Tomillo hoja- Herbes del Moli- 50 gr","2.64","10.00","2.90",
"ESPHERB0070","Curcuma molida 1kg - Herbes del Moli -","23.36","10.00","25.70",
"ESPHERB0077","Garam Massala 25gr - Herbes del Moli -","2.36","10.00","2.60",
"ESPHERB0078","Ras el Hanout  25gr - Herbes del Moli -","2.36","10.00","2.60",
"ESPHERB0079","DESCATALOGADO Te Negro 70 gr","2.31","21.00","2.80",
"ESPHERB0080","Eneldo- bote - 11 gr","1.78","21.00","2.15",
"FCRVITA0001","Manzana Crujiente- VitaSnack -24 g","2.45","4.00","2.55",
"FCRVITA0002","Mango Crujiente- VitaSnack -26 g","2.45","4.00","2.55",
"FCRVITA0003","Bolsa Platano Deshidratado- VitaSnack -28 g","2.45","4.00","2.55",
"FCRVITA0004","Pina Crujiente- VitaSnack -26 g","2.36","4.00","2.45",
"FCRVITA0005","Fresa Crujiente- VitaSnack -24 g","2.93","4.00","3.05",
"FCRVITA0006","Caqui Crujiente- VitaSnack -24 g","2.93","4.00","3.05",
"FCRVITA0007","Papaya Crujiente- VitaSnack -24 g","2.60","4.00","2.70",
