"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Herbes del Moli","Equinacea- raiz- Herbes del Moli-  60 gr","1,00","3,56","3,56","4,55","4,55",
"Herbes del Moli","Especia sazonador pasta- Herbes del moli- bote 25gr","2,00","1,84","3,68","2,45","4,90",
"Herbes del Moli","Frutas sin teina-bolsa 60 gr- Herbes del Moli","1,00","2,42","2,42","4,20","4,20",
"Herbes del Moli","Garam Massala 25gr - Herbes del Moli -","3,00","1,63","4,89","2,60","7,80",
"Herbes del Moli","Ginkgo biloba- Herbes del Moli- hojas 40 gr","5,00","1,31","6,55","2,10","10,50",
"Herbes del Moli","Harpagofito- Herbes del moli- bolsa raices (100gr)","2,00","2,87","5,74","4,60","9,20",
"Herbes del Moli","Hierba buena- Herbes del moli- bolsa hojas (20gr)","1,00","1,00","1,00","1,53","1,53",
"Herbes del Moli","Hierba Luisa- hojas - Herbes del Moli- 15 gr","1,00","1,11","1,11","1,77","1,77",
"Herbes del Moli","Hierbas provenzales- Herbes del Moli - bote 15 gr","1,00","1,43","1,43","2,00","2,00",
"Herbes del Moli","Hinojo- Herbes del moli- bolsa semillas (90gr)","2,00","1,64","3,28","2,60","5,20",
"Herbes del Moli","Manzanilla con Anis- Herbes del Moli- 20 saquitos","2,00","1,55","3,10","2,55","5,10",
"Herbes del Moli","Manzanilla- Herbes del moli- 20 saquitos","2,00","1,45","2,90","2,40","4,80",
"Herbes del Moli","Mejorana- Herbes del moli- bolsa flor/hojas (30gr)","1,00","1,08","1,08","1,75","1,75",
"Herbes del Moli","Melisa- hojas - Herbes del Moli- 20 gr","1,00","1,12","1,12","1,65","1,65",
"Herbes del Moli","Menta piperita- hojas- Herbes del Moli-  25 gr","4,00","1,12","4,48","1,55","6,20",
"Herbes del Moli","Menta poleo- Herbes del moli- 20 saquitos","2,00","1,45","2,90","2,30","4,60",
"Herbes del Moli","Nuez moscada molida- Herbes del moli- bote 40gr","1,00","2,80","2,80","4,46","4,46",
"Herbes del Moli","Oregano- Herbes del moli- bote 7gr","2,00","1,30","2,60","1,64","3,64",
"Herbes del Moli","Oregano- hojas- Herbes del Moli-  30 gr","4,00","1,41","5,64","2,25","9,00",
"Herbes del Moli","Ortiga verde planta cortada- Herbes del Moli-  25 gr","1,00","1,02","1,02","1,50","1,50",
"Herbes del Moli","Pasiflora Encarnata - bolsa  - Herbes del Moli - 35 gr","1,00","1,64","1,64","2,40","2,40",
"Herbes del Moli","Perejil- Herbes del moli- bote 8gr","2,00","1,37","2,74","2,00","4,00",
"Herbes del Moli","Perejil- hojas - Herbes del Moli- 40 gr","2,00","1,88","3,76","2,80","5,60",
"Herbes del Moli","Pimenton Picante- Herbes del Moli- Bote 40gr","1,00","1,70","1,70","2,70","2,70",
"Herbes del Moli","Pimienta Negra molida- Herbes del Moli- Bote 38gr","2,00","1,80","3,60","2,85","5,70",
"Herbes del Moli","Ras el Hanout  25gr - Herbes del Moli -","1,00","1,63","1,63","2,60","2,60",
"Herbes del Moli","Regaliz- Herbes del moli- bolsa raices (90gr)","4,00","1,70","6,80","2,70","10,80",
"Herbes del Moli","Te blanco Pal mun dan- Herbes del Moli- 30 gr","1,00","1,75","1,75","2,55","2,55",
"Herbes del Moli","Te blanco- Herbes del Moli- 20 saquitos","2,00","1,45","2,90","2,30","4,60",
"Herbes del Moli","Te de jazmin- Herbes del Moli- 70 gr","1,00","2,52","2,52","2,66","2,66",
"Herbes del Moli","Te Moruno -Herbes del Moli- 20 saquitos","2,00","1,70","3,40","2,65","5,30",
"Herbes del Moli","Te rojo Pu erh - Herbes del Moli- 70 gr","1,00","4,88","4,88","7,80","7,80",
"Herbes del Moli","Te Rooibos Naranja Chai- 15 Piramides de 2g- Herbes del moli","2,00","2,65","5,30","4,20","8,40",
"Herbes del Moli","Te rooibos- Herbes del moli- 20 saquitos","1,00","1,50","1,50","2,40","2,40",
"Herbes del Moli","Te Verde con menta-Herbes del moli- 20 saquitos","6,00","1,70","10,20","2,45","14,70",
"Herbes del Moli","Te verde- Herbes del moli-20 saquitos","5,00","1,45","7,25","2,30","11,50",
"Herbes del Moli","Tila- Herbes del moli- 20 saquitos","1,00","1,70","1,70","2,65","2,65",
"Herbes del Moli","Tisana Antiestres- Herbes del Moli- 20 saquitos","2,00","1,70","3,40","2,65","5,30",
"Herbes del Moli","Tisana Circula-T- Herbes del Moli- 20 saquitos","1,00","1,65","1,65","2,65","2,65",
"Herbes del Moli","Tisana Depurat- Herbes del moli-20 saquitos","5,00","1,70","8,50","2,65","13,25",
"Herbes del Moli","Tisana Duermet- Herbes del moli-20 saquitos","2,00","1,65","3,30","2,65","5,30",
"Herbes del Moli","Tisana Silue-T- Herbes del Moli- 20 saquitos","1,00","1,65","1,65","2,30","2,30",
"Herbes del Moli","Tomillo hoja- Herbes del Moli- 50 gr","1,00","1,81","1,81","2,90","2,90",
"Herbes del Moli","Vid roja- hojas- Herbes del Moli-  35 gr","2,00","1,32","2,64","2,10","4,20",
,,,,"Total:188,81",,"Total:294,30",
"HUEVOS PEDAQUE","Huevos - Pedaque - Media Docena","270,00","1,64","442,80","2,48","669,62",
,,,,"Total:442,80",,"Total:669,62",
"Josenea","Champu pelo seco (Fucus y Aloe) JOSENEA -Irati- 250ml","2,00","8,07","16,14","13,15","26,30",
"Josenea","Desodorante salvia y sandalo JOSENEA - Irati - 50ml","2,00","4,51","9,02","7,90","15,80",
"Josenea","EnergiKa - 20 sacos - Josenea -","2,00","2,09","4,18","3,65","7,30",
"Josenea","ProteK - 20 sacos - Josenea -","2,00","2,09","4,18","3,65","7,30",
,,,,"Total:33,52",,"Total:56,70",
"La Abeja Meli (APIARTE)","Miel brezo/roble - La abeja Meli- 500gr","2,00","5,10","10,20","7,65","15,30",
"La Abeja Meli (APIARTE)","Miel Multifloral Aromatica- La abeja Meli- bote de 500gr","2,00","4,90","9,80","7,35","14,70",
"La Abeja Meli (APIARTE)","Miel multifloral aromatica- La Abeja Meli-1 kilo","4,00","8,30","33,20","12,10","48,40",
"La Abeja Meli (APIARTE)","Miel Multifloral Montana- La Abeja Meli- 500 gr","4,00","4,90","19,60","7,80","31,20",
"La Abeja Meli (APIARTE)","Miel romero- La abeja Meli- 500 gramos","5,00","5,10","25,50","8,15","40,75",
"La Abeja Meli (APIARTE)","Miel romero- La Abeja Meli-1 kg","3,00","8,60","25,80","12,90","38,70",
"La Abeja Meli (APIARTE)","Miel tomillo- La abeja Meli- 500 gramos","1,00","5,10","5,10","7,80","7,80",
"La Abeja Meli (APIARTE)","Miel tomillo- La Abeja Meli-1 kilo","2,00","8,60","17,20","12,60","25,20",
,,,,"Total:146,40",,"Total:222,05",
"La Garbancita Ecologica","lotes y saldos cb","4,56","0,96","4,38","2,20","8,88",
"La Garbancita Ecologica","Piramide ADE -Alimentacion Deporte y Emociones","1,00","0,48","0,48","1,00","1,00",
,,,,"Total:4,86",,"Total:9,88",
"LA LABRANZA TOLEDANA","Garrafa 5 litros Aceite de Oliva Virgen Extra- Labranza Toledana","1,00","23,64","23,64","36,25","36,25",
"LA LABRANZA TOLEDANA","Lata 2,5 litros - Aceite de Oliva Virgen Extra - Labranza Toledana","5,00","14,55","72,75","21,75","108,75",
"LA LABRANZA TOLEDANA","Lata 5l - Aceite de oliva virgen extra- Labranza Toledana","4,00","25,46","101,84","39,15","156,60",
,,,,"Total:198,23",,"Total:301,60",
"La Vall de la Casella","Clementina Okitsu- Valldela Casella- Kg","3,74","0,75","2,81","1,50","5,61",
